SID,email,Surname,GivenName,MI,Gend,Prog,Enrolment Type,Att,SAT MT,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,MT_Total,Days online 2,Views 2,Contributions 2,Questions 2,Days online 3,Views 3,Contributions 3,Questions 3,Days online 4,Views 4,Contributions 4,Questions 4,Days online 5,Views 5,Contributions 5,Questions 5,Days online,Views,Contributions,Questions,Video_1_W2,Questions_1_W2,Correct_1_W2,Video_2_W2,Questions_2_W2,Correct_2_W2,Video_1_W3,Questions_1_W3,Correct_1_W3,Video_2_W3,Questions_2_W3,Correct_2_W3,Video_1_W4,Questions_1_W4,Correct_1_W4,Video_2_W4,Questions_2_W4,Correct_2_W4,Video_1_W5,Questions_1_W5,Correct_1_W5,Video_2_W5,Questions_2_W5,Correct_2_W5
355627475,afqd2069@bogus.com,Baylee,Anthony,L,male,FSCI,HECS,Full Time,1,1,1,1,0,1,1,0,1,1,0,70,5,26,4,2,0,25,4,2,7,10,4,0,3,21,4,3,15,82,16,7,77.12322901,71.61929342,84.6546507,82.88422799,79.0701128,100,66.20717944,84.15994969,99.66375111,78.12044848,61.55206946,33.75482981,64.0254536,33.14868484,51.63456649,93.5069308,55.41356906,86.76695562,55.46771083,73.75906428,85.74136221,72.60469624,66.25498239,71.17580725
395008714,smmb7292@bogus.com,Beach,Tahlia,R,female,FSCI,Local,Full Time,1,1,0,1,1,1,1,1,0,1,1,80,4,18,4,3,7,24,3,2,0,15,4,0,4,32,4,4,15,89,15,9,88.25397302,87.81724214,100,72.4073246,71.23677906,54.10071398,71.87095639,100,37.28934325,79.91561312,95.41341845,84.54794142,85.18005447,66.93443064,51.99724848,100,85.72971038,59.02529114,63.60228017,89.75966346,74.6312164,85.64174454,93.04039679,93.73333176
352717868,deso8187@bogus.com,Beeby,Callum,B,male,FEIT,HECS,Full Time,1,0,1,1,1,0,0,1,1,0,1,60,6,20,2,1,7,10,2,2,6,14,1,1,7,0,1,0,26,44,6,4,59.36412545,51.10267983,57.32134555,59.09383076,45.79349011,29.11281632,74.55598796,65.04116924,50.76252248,72.31090517,68.73203351,87.49500788,69.35737521,42.54612879,51.61154927,49.12632043,57.92618134,71.2962449,72.50646452,38.29122034,40.42475548,14.29886008,53.56135675,80.7678037
394589352,sgif8648@bogus.com,Belcher,Mackenzie,J,female,SMED,International,Full Time,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,18,0,0,0,12,0,0,0,0,0,0,0,42,0,0,0,0,0,20.42741111,0,0,0,0,14.9513801,20.13164892,0,0,9.501439295,0.084723523,16.5406434,6.85130511,0,0,5.333598225,30.83742154,0,0,4.79032324,57.36413567
351106233,oirx9268@bogus.com,Benstead,Caleb,E,male,FSCI,HECS,Full Time,1,1,1,1,1,1,1,1,0,0,1,80,6,14,3,2,7,23,3,1,6,15,4,3,7,20,3,3,26,72,13,9,62.96168742,99.29546607,71.81800412,85.02604462,73.78157946,92.83341373,89.20749722,82.21023318,53.45991425,75.47811505,54.62381436,62.39290122,74.38241488,51.88459062,64.02304455,74.59662566,71.35463983,73.18763065,97.9226031,62.56779676,92.88013919,93.73267524,53.11865792,67.98734643
324775672,sdwf2937@bogus.com,Blacklow,Brianna,B,female,SMED,HECS,Full Time,1,1,0,1,0,1,0,0,1,1,0,50,0,11,1,1,0,12,1,1,1,9,1,1,1,10,1,0,2,42,4,3,54.31407647,68.00080762,7.248859818,35.07594108,70.28970072,73.96132181,55.23096689,57.0093248,77.49819191,60.70754938,44.50679829,84.22547015,39.73729641,47.52911937,65.23172959,37.30255601,11.1824012,19.80160586,23.22303216,62.58911004,71.92509473,62.69193363,71.89068309,52.67356716
359936485,cudy8091@bogus.com,Bosch,Aidan,B,male,FEIT,International,Full Time,1,1,0,0,0,0,1,0,0,1,1,40,4,30,1,1,1,8,0,0,0,4,0,0,3,52,1,0,8,94,2,1,45.942234,67.92002432,67.79777013,49.28888674,34.28427678,43.8333632,55.58559801,58.52491037,79.95626064,34.44017072,34.41276574,89.35157955,45.2912664,52.00358985,75.91366469,31.00757847,48.76421249,0,31.55672309,32.20419755,30.68365457,58.26297753,49.87381876,30.36169825
388434168,ijjl9090@bogus.com,Bowen,Zara,R,female,FASS,HECS,Full Time,1,1,1,1,1,1,1,1,1,1,1,100,7,14,4,0,0,25,4,0,7,14,4,4,4,39,4,0,18,92,16,4,95.01329369,100,100,98.33589252,91.86238498,100,100,97.22088556,80.73837645,100,100,98.72338436,91.00776839,95.15337828,100,100,100,85.46800875,100,100,100,98.68373586,100,100
383530460,tapk4544@bogus.com,Bracy,Stephanie,M,female,FASS,International,Full Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,27.35083304,0,0,34.43236451,0,24.50976017,0,0,33.93616541,0,12.5790187,0,0,19.22441763,16.76371976,27.04295737,0,3.012039619,0,0,22.01859234,0
336275645,ahhf8149@bogus.com,Bray,Phoebe,C,female,SMED,HECS,Full Time,1,1,1,1,0,1,1,0,1,0,1,70,0,17,5,3,0,10,5,4,3,12,4,2,7,33,4,1,10,72,18,10,53.52149628,89.80173486,53.2201247,74.56195702,82.87538733,53.64614536,68.60326347,80.76734705,66.06628906,84.89500576,67.99135929,22.14051305,64.6486168,76.18667294,100,75.11690996,60.67204385,11.69169208,44.68485518,62.64447664,75.13033667,43.31532838,69.92117695,100
376434716,thcy7615@bogus.com,Brock,Scarlett,A,female,FSCI,International,Full Time,1,1,0,1,0,1,1,0,0,1,1,60,2,4,0,0,4,15,0,0,0,39,0,0,5,30,0,0,11,88,0,0,57.92288849,51.58811088,21.51819071,63.38493324,62.34738675,71.17999233,70.17818608,86.29519721,0,91.51524818,69.34595672,29.41539607,65.17898821,79.77785056,42.1329215,75.52578111,65.51026243,47.93971794,40.88213399,75.2684662,17.87906395,59.84575092,51.20686596,42.68015567
386719553,futy6021@bogus.com,Buggy,Bella,K,female,FSCI,HECS,Part Time,1,1,1,1,1,0,0,1,1,1,1,80,6,35,2,0,6,21,2,2,5,39,3,0,5,29,2,2,22,124,9,4,94.82218677,87.00124228,82.9128171,90.06787882,64.35508205,84.12147612,90.23814756,92.86140358,46.1709863,82.39536889,82.81536357,100,64.85306598,78.71499573,49.50397676,75.58520494,89.38603289,89.47071247,74.0418072,66.51007227,79.35636379,97.00412937,100,62.367127
377877923,hkfo5474@bogus.com,Bunny,Brayden,B,male,FEIT,International,Full Time,1,0,1,1,1,1,1,0,1,0,0,60,0,21,0,0,3,15,0,0,4,35,1,0,4,60,0,0,11,131,1,0,61.37677592,46.14267403,100,49.80141184,62.27905188,40.67256818,83.43698172,72.69860396,86.1892736,46.26138397,71.87012064,10.42045712,70.40893543,34.02585071,99.23220101,85.42064177,69.4532535,82.55174027,63.4054085,59.42109505,70.35729699,71.3995245,80.20265288,45.97652008
320834111,anrd9381@bogus.com,Burke,Abby,B,female,SMED,International,Full Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,16,1,1,0,0,1,0,6,20,2,1,0,21.47238818,0,20.18233993,0,12.07043692,0,0,0,3.824871622,32.87600866,6.13713383,21.15393485,0,30.66945527,0,0,0,7.075739847,31.05974914,22.87145397,6.535353853,0,0
345171616,xucy4880@bogus.com,Cannan,Lily,J,female,FASS,HECS,Full Time,1,1,1,1,1,1,1,0,0,0,0,60,7,21,1,1,4,9,1,0,0,4,1,1,5,7,1,0,16,41,4,2,65.70304409,71.26506491,20.10831046,62.85557764,60.13129192,56.34062795,66.63305068,44.16109593,25.29258159,59.14408827,75.35434473,0,61.30962236,48.66051187,34.80754075,38.98267401,60.09554742,23.7084181,82.25597012,44.541972,74.54798424,78.54933148,43.30237187,74.81758876
369056671,homk4487@bogus.com,Challinor,Aaron,J,male,SMED,HECS,Full Time,1,1,0,1,1,1,1,1,1,0,1,80,7,22,5,5,0,19,4,4,0,16,4,0,7,21,4,1,14,78,17,10,96.0608958,54.75198619,36.24610822,69.6499858,83.09340718,56.27839612,79.95834229,63.71469513,47.00373943,77.79937572,83.74050399,96.48144192,65.92146459,59.43570058,67.97037668,73.68226564,71.28135804,100,73.81885524,94.08532479,62.22775769,77.71656706,65.87090088,92.14577245
336534413,abpz4394@bogus.com,Chang,Chow,C,female,SMED,International,Full Time,1,1,0,1,0,1,1,1,1,0,0,60,6,11,0,0,2,36,0,0,3,19,0,0,6,31,0,0,17,97,0,0,50.90773377,74.6319227,83.7973834,77.36972856,81.16972407,59.48571095,64.52622052,61.83366275,65.16498212,73.36298855,60.59892325,41.2006494,56.860407,67.37916247,0,76.8629468,69.06751376,80.83869908,55.65512873,74.4696402,65.48293781,50.38913398,51.32936044,57.78183177
320264344,todd6458@bogus.com,Chang,Jiao,S,female,FEIT,International,Full Time,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,0,0,0,9,0,0,0,1,1,1,4,21,1,1,0,10.79118071,15.82616705,35.15241104,38.18801433,0,9.149886909,13.31635147,0,40.77513555,7.977932421,0,18.75769046,16.24599805,0,2.695886335,0,0,0,8.2755506,26.25802459,0,12.81367228,14.9838052
386943298,kznq6264@bogus.com,Chang,Lian,M,female,FASS,HECS,Part Time,1,1,1,1,1,1,0,0,0,0,0,50,4,29,2,1,4,12,1,1,3,21,3,3,2,42,1,0,13,104,7,5,52.6578842,94.21616864,77.68224869,53.28304834,41.18516955,0.202718165,31.18077145,40.53625856,63.76419756,29.88589717,48.74123476,74.3578307,33.28539945,42.56716015,51.55304582,37.63574392,45.09324228,17.94489092,53.10050261,69.5628389,33.85764326,53.2508896,43.66219476,0.932746367
345294497,fjpz7122@bogus.com,Chao,Yi Jie,K,female,FEIT,HECS,Full Time,1,1,1,1,1,1,1,1,0,0,1,80,7,9,4,3,7,24,4,1,7,20,4,2,2,31,5,2,23,84,17,8,78.35861957,75.16400767,64.48371649,83.21224498,92.12604149,92.16051197,75.77381601,78.26069508,100,85.03157816,69.08478771,81.70109024,86.69429307,98.01464735,100,75.78643464,96.65573185,100,64.99513365,65.23669467,86.43248856,88.5714511,78.20944326,98.36974994
382466249,kmaj7973@bogus.com,Chao,Li Na,F,female,FEIT,HECS,Full Time,1,1,1,1,0,1,0,0,0,1,0,50,7,16,1,0,3,8,1,1,0,18,1,0,5,18,1,0,15,60,4,1,44.60859298,36.17685455,23.19176848,63.63558356,58.51758922,53.69565234,17.02712922,48.43251102,59.63468131,52.39446426,51.1902588,37.7173157,57.57025169,33.26047855,20.14576394,43.41544222,63.60384107,57.70815535,64.02415296,67.23022615,6.49405107,51.60763343,42.38500671,71.46412135
344829895,wzft6457@bogus.com,Chao,Bao,D,male,FEIT,Local,Part Time,1,1,1,1,1,1,1,1,1,1,1,100,6,34,3,0,4,23,1,1,2,40,2,0,6,58,1,0,18,155,7,1,100,97.90440172,100,93.71812398,98.94640793,79.25845175,87.64386684,100,92.57131829,99.46088919,100,100,90.87687244,93.41787856,86.51286205,100,100,100,100,78.04097018,100,94.69665811,98.39362091,84.37133433
359392829,ysqt4818@bogus.com,Chao,Yuan,Q,female,FSCI,HECS,Full Time,1,1,0,1,0,1,1,1,0,1,0,60,0,16,1,0,7,16,1,1,6,11,0,0,7,23,0,0,20,66,2,1,71.20753718,81.59078997,34.55861191,42.3947499,74.9111857,85.50147789,58.02158608,75.92815413,100,67.69972335,53.81269458,48.88849536,65.13353729,76.42348968,34.04971479,65.69144995,38.38528464,100,52.6221155,58.30032644,45.30854789,38.60136183,83.0130079,47.25481442
347974564,bgcc1924@bogus.com,Chao,Li Qin,S,female,FSCI,HECS,Full Time,1,0,0,1,0,1,0,0,1,1,1,50,7,11,0,0,7,12,2,2,4,2,0,0,2,31,1,1,20,56,3,3,26.67278734,71.8715682,89.90262813,66.80001328,32.57304964,0,55.23201691,25.5470833,41.65929624,60.51084944,39.53480745,3.181420852,48.04942939,36.90597147,0,46.06979189,52.27461784,67.98805854,65.67048606,54.36591919,95.41209634,29.62704814,27.91300611,46.86812901
330625608,jeng1629@bogus.com,Chao,Yi,S,female,FEIT,Local,Full Time,1,1,1,1,0,1,0,0,0,1,0,50,5,12,1,1,7,5,1,0,6,4,0,0,0,19,1,1,18,40,3,2,52.40130484,52.17931789,12.62017356,46.18791486,48.3635832,100,40.92319169,70.00555423,14.350446,44.12646712,65.99019437,39.09277029,30.61460904,54.01908471,91.42187684,53.61962133,45.81320967,57.88210565,64.77218833,72.73764717,39.86644876,49.14041396,50.47170257,0
300338811,vgjy9215@bogus.com,Chao,Shan,L,female,FSCI,Local,Full Time,1,1,0,0,1,1,0,1,0,1,1,60,7,2,0,0,7,17,1,0,0,4,1,0,4,19,1,1,18,42,3,1,51.94336243,49.64628512,90.16754122,69.9511156,51.60603373,80.29370001,48.23721589,60.50550554,49.93736409,84.72234625,31.21968744,73.10083652,62.5944731,45.82028711,29.4472435,57.56711456,69.25280955,48.9126621,53.85737686,58.82315818,40.32515816,45.63049749,71.55622459,45.80388881
358661964,schz7792@bogus.com,Chen,Qian,S,female,FEIT,International,Part Time,1,1,1,1,1,1,0,1,1,1,1,90,7,42,1,0,7,45,0,0,5,40,1,0,7,15,0,0,26,142,2,0,100,96.67164737,100,77.79107866,96.27584756,52.69426271,75.83387029,100,83.7848104,99.55669837,95.82364272,88.80456172,77.68920285,87.87914638,77.68745579,86.19796729,100,100,74.54734428,84.70223318,100,86.36354032,76.69918132,87.6082472
335319678,awah1260@bogus.com,Chen,Sheng,L,male,FSCI,HECS,Full Time,1,0,0,0,0,1,0,1,1,1,1,50,0,15,1,0,1,3,1,1,0,16,1,0,5,9,2,1,6,43,5,2,45.01119895,19.65949983,28.84145986,35.02407759,69.04844813,51.045762,45.56192959,54.83555954,96.67751352,40.42599117,45.70221557,75.41513175,49.50915571,68.08122144,41.39407597,59.34297089,43.05573986,49.8471739,19.773227,31.26416861,21.77427035,67.28421551,57.95125446,82.60808204
326091177,zubf4711@bogus.com,Chen,Hui Ying,P,female,SMED,Local,Full Time,1,1,0,1,1,1,1,1,0,1,1,80,7,16,4,4,7,16,3,1,0,12,4,3,7,30,5,2,21,74,16,10,87.77490172,68.61980654,61.54629736,80.0556325,73.81689203,16.06658159,77.19174571,87.82551346,83.38332845,89.20724691,82.54803349,91.63196324,69.23311405,95.84441204,76.97659973,62.94229372,72.87062105,77.71235174,78.90159067,97.90421058,39.39042502,69.13472732,84.87775503,100
387534083,equj8510@bogus.com,Cheng,Xiao Chen,Y,female,FEIT,HECS,Full Time,1,1,1,0,1,1,0,1,1,1,1,80,0,18,5,5,0,19,4,0,7,13,4,4,7,31,4,3,14,81,17,12,54.58651613,80.71449962,52.79256022,86.62306107,74.35540815,74.86003676,76.30342414,87.03166048,68.28099632,89.58972883,91.68627925,46.05215137,83.64963357,74.38324763,48.84892513,78.74503103,64.73193823,87.67654194,69.83117646,68.77565169,93.78332086,81.46960208,79.77777394,76.35836796
393239125,huwk6748@bogus.com,Chia,You,L,male,FEIT,HECS,Full Time,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,5,16,1,1,6,28,1,1,19.36452692,0,0,2.355739395,0,11.59967612,9.576543532,24.43614941,7.566063448,0,7.737484978,0,0,0,0,0,0,0,0,0,6.671241419,0,8.589395725,0
395491154,bzbu3935@bogus.com,Chia,Sun,F,male,FEIT,International,Full Time,1,1,1,1,1,1,0,1,0,1,0,70,0,34,0,0,6,16,0,0,4,36,0,0,4,36,0,0,14,122,0,0,99.16953389,73.11781291,31.32895285,58.65564124,81.81773711,84.60288764,60.87014829,88.16184836,50.12989722,66.82906099,89.82147956,60.27626542,85.90713392,80.52684033,78.11850128,58.90233434,82.02783637,67.90705301,56.05892805,62.11381355,100,75.7140963,72.55406969,61.09835544
353424637,sufd4890@bogus.com,Chia,Cai,G,female,FEIT,HECS,Full Time,1,1,0,0,1,0,1,1,0,1,1,60,7,8,1,1,7,16,0,0,0,14,1,0,7,30,1,0,21,68,3,1,49.65147923,48.64835514,9.810571413,62.2710308,50.71281176,46.92248096,56.28215287,67.45282572,63.92114112,71.34932121,52.20028742,80.65523332,40.96220129,51.98612182,88.79257171,67.43880421,68.48571262,51.60720333,54.97967943,50.6209049,16.95350782,59.79150416,83.57176727,35.89367631
356649617,jzjd5647@bogus.com,Chiang,Long,Q,male,SMED,HECS,Full Time,1,1,1,0,1,1,1,0,0,1,1,70,0,12,3,0,2,24,3,1,4,17,4,0,7,38,4,3,13,91,14,4,60.23574045,78.83936884,80.63514396,67.26395301,93.85636516,48.28969212,75.9427923,82.27688535,51.19741302,71.88645417,63.1914944,48.6447058,65.93871418,60.87014034,46.72109084,63.85893056,98.65887336,100,71.04207795,66.74998603,61.55837422,62.21292554,84.28644473,79.45671327
374721725,arrx7749@bogus.com,Chiang,Dan,H,female,FSCI,Local,Full Time,1,0,1,1,1,1,1,0,1,1,0,70,5,9,4,3,7,16,4,0,3,26,4,0,0,13,4,0,15,64,16,3,65.5176857,58.82897028,100,75.64749066,46.84837561,0,76.18192733,72.18740434,27.89183469,72.52408468,70.39363472,55.50811815,54.83574403,57.13626463,78.05734113,62.49811891,54.51545582,22.92925678,66.84582255,77.32950084,98.13417627,65.15100836,84.37255812,35.56881887
311149133,jwlu7043@bogus.com,Chiang,Shing,Y,male,SMED,HECS,Full Time,1,0,1,1,1,0,1,1,0,1,1,70,4,11,4,3,3,5,4,1,7,15,4,0,6,23,4,0,20,54,16,4,69.98736106,64.88064737,80.31445498,78.05975659,70.54290925,46.31848828,95.45785929,64.44325327,28.30395777,76.63674994,62.5154662,16.46997202,93.57122687,77.03598485,57.12332338,83.94489619,81.66291377,46.76784825,50.94282376,63.25423414,42.1266714,43.73231564,75.73032979,36.16895836
325406506,yzqg7510@bogus.com,Chidley,Abigail,M,female,FASS,HECS,Full Time,1,0,1,0,0,1,1,0,0,0,1,40,7,4,1,0,0,14,1,0,7,15,1,0,7,7,1,0,21,40,4,0,36.10522673,38.2198323,24.83370919,35.82764501,24.32383277,30.67283339,13.47412633,41.68235402,75.76904737,39.92911983,40.26313488,59.98369003,20.83632906,41.69865844,12.98404965,41.18074983,2.920352514,90.60571383,16.80946915,29.2716944,81.13273643,29.38348502,50.12768287,45.40147682
308196625,ceja6532@bogus.com,Chien,An,Y,male,FASS,International,Full Time,1,1,0,0,0,1,1,1,0,0,0,40,0,6,0,0,2,18,0,0,3,24,0,0,6,53,1,1,11,101,1,1,15.45793476,41.65623649,22.58105995,43.62324179,39.12219974,91.16719543,42.45522942,23.79210156,20.96362819,45.5401737,26.52426635,69.60044713,37.09169101,67.99999503,20.17576528,51.87868861,39.6061036,14.28918033,50.43498526,36.59184189,88.18758868,19.48360085,57.75641537,73.12998178
