SID,email,Surname,GivenName,MiddleInitial,Gender,UOS Code,Program,Enrolment Type,Attendance,Pretest
338794010,okhh4013@bogus.com,Chung,Ai,X,female,ELON3509,SMED,Local,Full Time,67
360836655,gvwt6218@bogus.com,Clancy,Levi,E,male,ELON3509,SMED,HECS,Full Time,87
325433059,iwff2000@bogus.com,Colechin,Jorja,H,female,ELON3509,FASS,HECS,Full Time,50
334887821,lqai1281@bogus.com,Connell,Brianna,Z,female,ELON3509,SMED,HECS,Full Time,3
341623299,wmge4305@bogus.com,Coppleson,Alexander,S,male,ELON3509,FSCI,HECS,Full Time,100
389675721,bodc5631@bogus.com,Cottee,Tyler,H,male,ELON3509,SMED,HECS,Full Time,37
385407681,aupc8783@bogus.com,Crisp,Jasper,M,male,ELON3509,FSCI,HECS,Full Time,44
374392795,dxsw9541@bogus.com,Crommelin,David,G,male,ELON3509,FSCI,HECS,Full Time,8
345441702,ownz4697@bogus.com,Crook,Hudson,M,male,ELON3509,FEIT,Local,Full Time,84
333153839,rdtu1396@bogus.com,Cumberlege,Jade,Z,female,ELON3509,FEIT,HECS,Full Time,54
336750522,zxwq7898@bogus.com,Dacomb,Luke,Z,male,ELON3509,FSCI,International,Full Time,70
320743906,qazk3407@bogus.com,Daly,Ashley,S,female,ELON3509,FASS,International,Full Time,38
323944697,qpqk3400@bogus.com,Day,Christian,B,male,ELON3509,FASS,HECS,Full Time,26
353125038,mqjf6366@bogus.com,De Gruchy,Sean,K,male,ELON3509,FSCI,Local,Full Time,72
315448453,gcdc3467@bogus.com,De Mestre,Hannah,B,female,ELON3509,SMED,HECS,Full Time,54
303381390,bkbj1220@bogus.com,Debenham,Harry,S,male,ELON3509,FASS,International,Full Time,14
338453843,wawz9164@bogus.com,Dellit,Milla,S,female,ELON3509,FEIT,International,Full Time,91
363393232,tccd1982@bogus.com,Denehy,Levi,A,male,ELON3509,SMED,International,Full Time,95
347236917,bjpy9429@bogus.com,Dixson,Cooper,L,male,ELON3509,FEIT,HECS,Full Time,76
363342000,nwqz5478@bogus.com,Dodery,Ava,B,female,ELON3509,FASS,International,Full Time,13
356713525,hejz7318@bogus.com,Dolling,Holly,O,female,ELON3509,FEIT,HECS,Full Time,58
366507035,vljd5443@bogus.com,Drew,Mary,C,female,ELON3509,FEIT,HECS,Full Time,53
315499512,aphf6150@bogus.com,Dymock,Sean,A,male,ELON3509,FSCI,HECS,Full Time,92
348678503,ftpw2609@bogus.com,Ebsworth,Madeline,D,female,ELON3509,FEIT,International,Full Time,2
370063666,rrbj2190@bogus.com,Edmund,Alicia,O,female,ELON3509,FASS,International,Full Time,98
387312898,vqgo2019@bogus.com,Elliott,Sophie,G,female,ELON3509,FASS,International,Full Time,87
393685083,aedu4855@bogus.com,Enticknap,Jorja,H,female,ELON3509,FEIT,International,Full Time,70
325650976,utln2640@bogus.com,Espie,Maya,J,female,ELON3509,FSCI,HECS,Full Time,64
395556240,gmhv5792@bogus.com,Ewart,Mackenzie,C,female,ELON3509,SMED,Local,Full Time,26
397844800,gbuj5651@bogus.com,Ewing,Timothy,E,male,ELON3509,FEIT,International,Full Time,67
335117676,spgv4105@bogus.com,Fan,Manchu,L,male,ELON3509,SMED,International,Full Time,92
364315661,qkmy5435@bogus.com,Fan,Kuan-Yin,G,male,ELON3509,FEIT,HECS,Full Time,1
309658704,mros9577@bogus.com,Fan,Wang,H,male,ELON3509,FEIT,International,Full Time,90
338101665,eayo9085@bogus.com,Fan,Huan Yue,G,female,ELON3509,FSCI,HECS,Full Time,53
373584511,ydax2112@bogus.com,Fang,Shen,C,male,ELON3509,SMED,HECS,Full Time,95
321616502,krsx6753@bogus.com,Fang,Sun,F,male,ELON3509,FASS,HECS,Full Time,24
338208762,izma7057@bogus.com,Fang,Lan,J,female,ELON3509,SMED,HECS,Full Time,32
382741506,yzij2082@bogus.com,Fang,Yuan,L,male,ELON3509,FASS,International,Full Time,29
377341321,rfdr7810@bogus.com,Fanny,Ryder,A,male,ELON3509,FSCI,International,Part Time,42
346244445,wavn5487@bogus.com,Farrow,Imogen,T,female,ELON3509,FASS,International,Full Time,92
312389236,jhzu3580@bogus.com,Feng,Xue Fang,C,female,ELON3509,FEIT,International,Full Time,72
390269008,sgdf7714@bogus.com,Feng,Lin,C,female,ELON3509,FEIT,HECS,Full Time,23
369564764,jkiz1908@bogus.com,Fetherston,Sean,K,male,ELON3509,FSCI,HECS,Full Time,41
393999446,clej8839@bogus.com,Fidler,Dylan,P,male,ELON3509,SMED,HECS,Full Time,44
328518976,oqsw1471@bogus.com,Finlay,Oscar,T,male,ELON3509,FSCI,International,Full Time,49
306470229,mdle7744@bogus.com,Fitchett,Samuel,E,male,ELON3509,FEIT,International,Full Time,91
381124298,abcw8083@bogus.com,Fosbery,Gabriella,E,female,ELON3509,FSCI,Local,Full Time,56
388101746,btnq7093@bogus.com,Fu,Ying,Q,female,ELON3509,FSCI,HECS,Full Time,70
391129912,swga7271@bogus.com,Gartrell,Kiara,T,female,ELON3509,FSCI,HECS,Full Time,26
349891359,qgcb3586@bogus.com,Geils,Keira,T,female,ELON3509,FEIT,HECS,Full Time,51
309288966,ypnj7019@bogus.com,Gellatly,Eve,H,female,ELON3509,FASS,Local,Full Time,80
396913155,eswv4528@bogus.com,Gentile,Brodie,L,male,ELON3509,FSCI,Local,Full Time,64
382816962,uioi9297@bogus.com,Glenelg,Xavier,M,male,ELON3509,FASS,International,Full Time,65
338372824,xkti7364@bogus.com,Gorman,Jake,E,male,ELON3509,SMED,HECS,Full Time,74
347761499,sysr5086@bogus.com,Grenda,Justin,A,male,ELON3509,FEIT,International,Full Time,78
338064278,susr3186@bogus.com,Grimshaw,Jorja,J,female,ELON3509,SMED,International,Full Time,83
381304143,sozq3345@bogus.com,Groom,Samantha,W,female,ELON3509,FASS,Local,Full Time,55
371397438,sgzr1762@bogus.com,Gyles,Matthew,L,male,ELON3509,FSCI,HECS,Full Time,88
390427164,fvyc1223@bogus.com,Hackett,Hayden,E,male,ELON3509,FEIT,HECS,Full Time,2
389398040,ocbe3461@bogus.com,Hague,Joel,K,male,ELON3509,SMED,Local,Full Time,19
399739378,ifsr7062@bogus.com,Halford,Elizabeth,J,female,ELON3509,FEIT,HECS,Full Time,13
330893522,cmnq5204@bogus.com,Han,Zhen Juan,B,female,ELON3509,SMED,HECS,Full Time,34
352708987,qevv1561@bogus.com,Hao,Meng,X,male,ELON3509,SMED,International,Full Time,5
306222554,zvza6671@bogus.com,Hao,Cui,C,female,ELON3509,FASS,HECS,Full Time,85
319057434,iskp8214@bogus.com,Harington,Justin,P,male,ELON3509,FSCI,International,Full Time,2
380491074,qifn5958@bogus.com,Harricks,Riley,I,male,ELON3509,FEIT,International,Full Time,26
365002344,rfan7320@bogus.com,Hawken,Kayla,A,female,ELON3509,SMED,Local,Part Time,67
349232037,xymd3961@bogus.com,Haynes,Gemma,M,female,ELON3509,FASS,HECS,Full Time,81
331665564,uplh8338@bogus.com,Hayter,Jett,S,male,ELON3509,FEIT,International,Full Time,12
357421614,zycd7896@bogus.com,He,Li Wei,C,female,ELON3509,FASS,HECS,Full Time,87
387429271,ymby4362@bogus.com,He,Lili,W,female,ELON3509,FASS,HECS,Full Time,0
384107074,ehwt3849@bogus.com,He,On,M,male,ELON3509,FEIT,HECS,Part Time,57
366338610,qpsw4478@bogus.com,He,Genji,H,female,ELON3509,FEIT,Local,Full Time,32
333306652,yuon3964@bogus.com,Heales,Levi,M,male,ELON3509,FEIT,HECS,Full Time,82
316265454,gqmm8434@bogus.com,Heydon,Anna,C,female,ELON3509,FASS,International,Full Time,12
345448513,dxqz4064@bogus.com,Hincks,Jade,O,female,ELON3509,SMED,International,Full Time,71
335714388,aujl4590@bogus.com,Ho,Xin Qian,S,female,ELON3509,FEIT,Local,Full Time,31
397835878,bofd1478@bogus.com,Ho,Chang,Y,female,ELON3509,SMED,HECS,Full Time,83
337926410,bjkr3542@bogus.com,Ho,Wu,L,male,ELON3509,FEIT,International,Full Time,35
343046362,gwcs5926@bogus.com,Holman,Eliza,T,female,ELON3509,FEIT,International,Full Time,17
337450380,lyga8847@bogus.com,Hordern,Zoe,D,female,ELON3509,SMED,HECS,Full Time,40
370160398,xpgu7748@bogus.com,Hose,Archie,S,male,ELON3509,FASS,International,Full Time,17
381593803,ovfz8385@bogus.com,Hou,Lian,S,female,ELON3509,FSCI,International,Full Time,82
330794979,tuew8714@bogus.com,Houlding,Alicia,S,female,ELON3509,SMED,HECS,Full Time,70
319549896,ysvh2103@bogus.com,Hoy,Zachary,K,male,ELON3509,FEIT,HECS,Full Time,36
395670677,hcpk5910@bogus.com,Hsia,Park,H,male,ELON3509,FSCI,International,Full Time,27
311126803,osyn8654@bogus.com,Hsia,Manchu,B,male,ELON3509,SMED,Local,Full Time,81
362350209,okib4434@bogus.com,Hsiao,Kang,R,male,ELON3509,SMED,International,Full Time,9
394964614,nptv2362@bogus.com,Hsieh,Fang,Q,female,ELON3509,FASS,Local,Full Time,18
335479057,dzeu7747@bogus.com,Hsing,Shuang,C,female,ELON3509,FASS,Local,Full Time,37
335915494,pqge2995@bogus.com,Hsing,Yi,Y,male,ELON3509,FASS,HECS,Full Time,95
339142200,tapy5733@bogus.com,Hsing,Manchu,Z,male,ELON3509,FASS,HECS,Full Time,70
320411944,hrju2464@bogus.com,Hsing,Peng,J,male,ELON3509,SMED,International,Full Time,15
326805791,hmvg7824@bogus.com,Hsing,Wang,S,male,ELON3509,SMED,HECS,Full Time,28
339638423,kebe9138@bogus.com,Hsiung,Wen,L,male,ELON3509,FSCI,HECS,Full Time,14
316852829,qjgz8388@bogus.com,Hsu,Wu,L,male,ELON3509,FEIT,HECS,Full Time,86
339054839,egwm4405@bogus.com,Hsu,Wei,N,male,ELON3509,FASS,International,Full Time,99
365882030,zugb3444@bogus.com,Hsu,Zhen,Z,male,ELON3509,FASS,International,Full Time,62
349884782,stzp4007@bogus.com,Hsu,Heng,W,female,ELON3509,FASS,HECS,Full Time,17
314136978,bsjf2041@bogus.com,Hsu,Wen,W,female,ELON3509,SMED,Local,Full Time,17
338048013,yjgn1754@bogus.com,Hsu,Shu Fang,W,female,ELON3509,FEIT,International,Full Time,15
390726792,fghb7498@bogus.com,Hsu,An,L,male,ELON3509,FSCI,HECS,Full Time,38
352120815,yfqw9850@bogus.com,Hsueh,Ni,X,female,ELON3509,FASS,International,Full Time,74
352120481,cget7539@bogus.com,Hsueh,Xiang,M,female,ELON3509,FSCI,HECS,Full Time,97
373792502,enmr9413@bogus.com,Hu,Xiang,J,female,ELON3509,SMED,HECS,Full Time,45
328231495,ykpi2652@bogus.com,Hu,Xiao Chen,P,female,ELON3509,SMED,HECS,Full Time,6
345455761,cmnw8139@bogus.com,Hu,Gang,M,male,ELON3509,FASS,International,Part Time,91
330296526,fibd1892@bogus.com,Huang,Xia He,H,female,ELON3509,FSCI,International,Full Time,87
338426983,icty6345@bogus.com,Huang,Yul,H,male,ELON3509,SMED,International,Full Time,74
329416997,xeib3223@bogus.com,Huang,Xiu,Y,female,ELON3509,FASS,International,Full Time,18
300049404,zlva9398@bogus.com,Humphrey,Oscar,A,male,ELON3509,FEIT,International,Full Time,21
386061509,axem6505@bogus.com,Hung,Zhi,O,female,ELON3509,SMED,HECS,Part Time,28
339523115,kfvh6000@bogus.com,Hung,Lin,T,female,ELON3509,SMED,HECS,Full Time,51
352537110,xrpv8109@bogus.com,Huxley,Lily,L,female,ELON3509,FSCI,Local,Full Time,77
348903361,dhts9471@bogus.com,Iredale,Flynn,M,male,ELON3509,SMED,HECS,Full Time,25
370747435,ohoo8319@bogus.com,Isaacson,Gabrielle,J,female,ELON3509,FEIT,International,Full Time,67
323842760,uisz8131@bogus.com,Jen,Jie,M,male,ELON3509,FSCI,International,Full Time,96
363968240,vthq7893@bogus.com,Jen,You,Y,male,ELON3509,FASS,HECS,Full Time,30
324233551,uevv7851@bogus.com,Jen,Qing Yuan,L,female,ELON3509,SMED,HECS,Full Time,95
339402616,ewrz8788@bogus.com,Joyce,Alica,R,female,ELON3509,FEIT,HECS,Full Time,76
347986419,iqgy2845@bogus.com,Julius,Sienna,A,female,ELON3509,FASS,International,Full Time,18
336559984,hggl6209@bogus.com,Kang,Yuan,T,female,ELON3509,SMED,Local,Full Time,72
378809971,lnwt2693@bogus.com,Kang,Li,N,male,ELON3509,SMED,HECS,Full Time,84
323155555,wwze5427@bogus.com,Kang,Cheng,H,male,ELON3509,FASS,International,Full Time,44
334618654,kout2250@bogus.com,Kang,Xiao Hong,J,female,ELON3509,FEIT,HECS,Full Time,14
340979661,nosr4708@bogus.com,Kang,Shuang,D,female,ELON3509,FSCI,HECS,Part Time,80
331103749,grnn5597@bogus.com,Ke,Ye,X,male,ELON3509,FEIT,Local,Full Time,10
324494203,xvxb2086@bogus.com,Ke,Lixue,C,female,ELON3509,FEIT,HECS,Full Time,44
339809329,nyco9918@bogus.com,Ke,Hui Ying,B,female,ELON3509,SMED,HECS,Full Time,66
388963652,infe6232@bogus.com,Keane,Joel,M,male,ELON3509,FEIT,International,Full Time,61
390032817,efwd2474@bogus.com,Keaney,Thomas,E,male,ELON3509,FEIT,Local,Full Time,53
382422059,ijes8842@bogus.com,Keats,Jamie,K,male,ELON3509,FASS,Local,Full Time,0
383956897,kpuf1967@bogus.com,Keldie,Caleb,M,male,ELON3509,FASS,HECS,Full Time,61
361723448,gtfn5679@bogus.com,Kenny,Nathan,C,male,ELON3509,FEIT,Local,Full Time,51
383559736,qwfv8797@bogus.com,Kent,Anthony,T,male,ELON3509,FSCI,International,Full Time,48
365052499,slpq9124@bogus.com,Kieran,Angelina,C,female,ELON3509,FEIT,Local,Full Time,5
365317151,xjzo9736@bogus.com,Kilfoyle,Brodie,S,male,ELON3509,SMED,Local,Full Time,68
376476244,urhg7700@bogus.com,Kinchela,Tristan,A,male,ELON3509,FEIT,HECS,Full Time,55
390101486,rwet1337@bogus.com,Kirke,Benjamin,L,male,ELON3509,FSCI,HECS,Full Time,67
307032841,yltp4816@bogus.com,Korff,Holly,L,female,ELON3509,FEIT,Local,Full Time,58
395818899,udyn5552@bogus.com,Kung,Shu,L,female,ELON3509,FSCI,International,Full Time,66
390481232,tuok2729@bogus.com,Kung,Ning,J,male,ELON3509,FASS,HECS,Full Time,67
345984904,ulpb3819@bogus.com,Kuo,Cheng,Y,male,ELON3509,FASS,International,Full Time,16
351253979,itag5398@bogus.com,Kuo,Chan,J,female,ELON3509,SMED,International,Full Time,44
345123668,aihu7974@bogus.com,Kuo,Song,X,male,ELON3509,FASS,International,Full Time,52
303414763,qxvs6878@bogus.com,Kuo,Shen,L,male,ELON3509,FEIT,HECS,Full Time,35
375755306,dhhy6991@bogus.com,Lai,Yong,B,male,ELON3509,FSCI,HECS,Full Time,28
345254393,ctzv9048@bogus.com,Lai,Juan,L,female,ELON3509,FSCI,HECS,Full Time,40
375184460,olcm1310@bogus.com,Lai,Hui,M,female,ELON3509,FEIT,International,Full Time,68
392427700,vrle2212@bogus.com,Lai,Cong,Y,male,ELON3509,FASS,International,Full Time,19
376060969,gtxq7391@bogus.com,Lammon,Jasper,S,male,ELON3509,FASS,International,Full Time,87
374624200,xuqg1793@bogus.com,Larnach,Jordan,C,male,ELON3509,FASS,HECS,Full Time,82
340279691,flla4219@bogus.com,Lawry,Kate,E,female,ELON3509,FEIT,HECS,Full Time,15
343834446,tcmw3292@bogus.com,Leckie,Marcus,C,male,ELON3509,FSCI,International,Full Time,73
368262254,lgvq5224@bogus.com,Lei,Cong,L,male,ELON3509,FSCI,HECS,Full Time,42
315781544,cjxo2457@bogus.com,Lei,De,D,male,ELON3509,FSCI,HECS,Full Time,70
362982870,ocns1469@bogus.com,Lennox,Mia,E,female,ELON3509,FEIT,International,Full Time,13
357306806,eggh1736@bogus.com,Lesina,Bella,J,female,ELON3509,SMED,Local,Full Time,63
335339701,gurf5786@bogus.com,Lestrange,Spencer,M,male,ELON3509,FASS,Local,Full Time,42
347952555,jnbs6171@bogus.com,Li,Li Wei,D,female,ELON3509,FASS,HECS,Full Time,83
338102854,zrnq4214@bogus.com,Li,Wan,C,female,ELON3509,FSCI,HECS,Full Time,72
380771227,onad2878@bogus.com,Li,Dan,S,female,ELON3509,FSCI,International,Part Time,52
325929550,lrmw6579@bogus.com,Liang,Yue Ying,C,female,ELON3509,FSCI,HECS,Full Time,4
340893132,nkxm1160@bogus.com,Liang,Yue You,C,female,ELON3509,FEIT,HECS,Full Time,33
323493650,xmrt8059@bogus.com,Liao,Tain,M,male,ELON3509,SMED,Local,Full Time,72
344870275,tntg9766@bogus.com,Lin,Bao,W,female,ELON3509,FSCI,Local,Part Time,61
358599390,zmft3879@bogus.com,Lin,Chung,D,male,ELON3509,FSCI,HECS,Full Time,54
332382730,iqvz5652@bogus.com,Lin,Yong,F,male,ELON3509,SMED,International,Full Time,11
369023682,xzbt8925@bogus.com,Liu,Qiong,C,female,ELON3509,FSCI,HECS,Full Time,78
372420690,rxet9563@bogus.com,Lo,Yu,L,female,ELON3509,SMED,HECS,Full Time,25
309617475,nswz2038@bogus.com,Lo,Bao,C,female,ELON3509,FEIT,International,Full Time,29
329701640,rbjq6992@bogus.com,Loewe,Jesse,A,male,ELON3509,FEIT,International,Full Time,42
311832878,hxcl9117@bogus.com,Longman,Angus,N,male,ELON3509,FASS,Local,Full Time,9
393827720,fowv3487@bogus.com,Longmore,Gabriella,J,female,ELON3509,FSCI,Local,Full Time,14
302984050,cjva6594@bogus.com,Lowerson,Alannah,B,female,ELON3509,FEIT,HECS,Full Time,68
347305248,oitf8242@bogus.com,Lu,Yul,X,male,ELON3509,SMED,Local,Full Time,35
324292781,sxdx6872@bogus.com,Lu,Yue Wan,Z,female,ELON3509,FSCI,Local,Full Time,23
377125153,hqnq3683@bogus.com,Lu,Hu,Z,male,ELON3509,FEIT,HECS,Full Time,100
335452286,pcwn5625@bogus.com,Lu,Huan Yue,H,female,ELON3509,FSCI,HECS,Full Time,25
319046287,arlq6393@bogus.com,Lu,Shen,C,male,ELON3509,FASS,HECS,Full Time,53
358488994,ddmn9802@bogus.com,Lu,Kong,Y,male,ELON3509,FEIT,Local,Full Time,62
393198733,hdbk5657@bogus.com,Lu,Ting,K,female,ELON3509,FASS,HECS,Full Time,64
326415718,akim7430@bogus.com,Lu,Yuan,W,female,ELON3509,SMED,HECS,Full Time,82
356742145,yuov8897@bogus.com,Lu,Shuang,S,female,ELON3509,FSCI,HECS,Full Time,10
387022890,lhcs8985@bogus.com,Lung,Yi,Z,female,ELON3509,FASS,International,Full Time,8
387770660,cwmf7694@bogus.com,Lung,Yul,M,male,ELON3509,FASS,HECS,Full Time,54
315564838,ejvi4915@bogus.com,Ma,Wen,D,male,ELON3509,FASS,Local,Full Time,78
393379196,dwnu9645@bogus.com,MacDonnell,Harrison,A,male,ELON3509,FASS,Local,Full Time,84
356812734,iegh9982@bogus.com,Macdermott,Rose,M,female,ELON3509,SMED,Local,Full Time,73
